CMR,2003,18.0,2233.0
MOZ,2003,27.0,2092.0
MDG,2003,26.0,1977.0
HTI,2003,15.0,1872.0
UZB,2003,24.0,2351.0
ZWE,2003,23.0,2010.0
TJK,2003,18.0,1956.0
AGO,2003,18.0,1983.0
IRQ,2003,22.0,2252.0
SDN,2003,23.0,2188.09205744481
NZL,2004,96.0,3157.0
DNK,2004,95.0,3382.0
FIN,2004,97.0,3188.0
NOR,2004,89.0,3477.0
CHE,2004,91.0,3412.0
SWE,2004,92.0,3147.0
CAN,2004,85.0,3525.0
LUX,2004,84.0,3489.0
NLD,2004,87.0,3197.0
GBR,2004,86.0,3445.0
DEU,2004,82.0,3411.0
AUS,2004,88.0,3052.0
ISL,2004,95.0,3290.0
AUT,2004,84.0,3606.0
BEL,2004,75.0,3722.0
IRL,2004,75.0,3573.0
JPN,2004,69.0,2842.0
EST,2004,60.0,3080.0
ARE,2004,61.0,3285.0
FRA,2004,71.0,3555.0
URY,2004,62.0,2831.0
BRB,2004,73.0,2770.0
CHL,2004,74.0,2917.0
PRT,2004,63.0,3535.0
TWN,2004,56.0,2986.0
ISR,2004,64.0,3621.0
BWA,2004,60.0,2191.0
SVN,2004,60.0,3158.0
POL,2004,35.0,3380.0
CRI,2004,49.0,2761.0
LTU,2004,46.0,3361.0
LVA,2004,40.0,3077.0
CYP,2004,54.0,2601.0
CZE,2004,42.0,3322.0
ESP,2004,71.0,3246.0
GEO,2004,20.0,2902.0
MLT,2004,68.0,3372.0
NAM,2004,41.0,2268.0
ITA,2004,48.0,3626.0
MUS,2004,41.0,3023.0
SVK,2004,40.0,2817.0
HRV,2004,35.0,2943.0
SAU,2004,34.0,2959.0
GRC,2004,43.0,3719.0
JOR,2004,53.0,3122.0
ROU,2004,29.0,3354.0
CUB,2004,37.0,3346.0
MYS,2004,50.0,2828.0
HUN,2004,48.0,3192.0
SEN,2004,30.0,2248.0
BLR,2004,33.0,2901.0
JAM,2004,33.0,2792.0
OMN,2004,61.0,2664.0
BGR,2004,41.0,2764.0
ZAF,2004,46.0,2940.0
TUN,2004,50.0,3248.0
CHN,2004,34.0,2861.0
SRB,2004,27.0,2656.128038296534
SUR,2004,43.0,2557.0
TTO,2004,42.0,2776.0
GHA,2004,36.0,2682.0
IND,2004,28.0,2256.0
MAR,2004,32.0,3263.0
TUR,2004,32.0,3609.0
ARG,2004,25.0,3028.0
BEN,2004,32.0,2461.0
KWT,2004,46.0,3507.0
ALB,2004,25.0,2792.0
BIH,2004,31.0,3091.0
LKA,2004,35.0,2348.0
BRA,2004,39.0,3082.0
COL,2004,38.0,2778.0
IDN,2004,20.0,2471.0
PAN,2004,37.0,2250.0
PER,2004,35.0,2296.0
THA,2004,36.0,2651.0
ZMB,2004,26.0,1866.0
MNG,2004,30.0,2230.0
TZA,2004,28.0,2098.0
ARM,2004,31.0,2554.0
ETH,2004,23.0,1882.0
VNM,2004,26.0,2478.0
PHL,2004,26.0,2461.0
DZA,2004,27.0,2987.0
BOL,2004,22.0,2051.0
SLV,2004,42.0,2567.0
NER,2004,22.0,2453.0
ECU,2004,24.0,2226.0
GAB,2004,33.0,2676.0
PAK,2004,21.0,2340.0
AZE,2004,19.0,2639.0
KAZ,2004,22.0,2979.0
MWI,2004,28.0,2166.0
MLI,2004,32.0,2540.0
NPL,2004,28.0,2374.0
MDA,2004,23.0,2582.0
MMR,2004,17.0,2093.0
SLE,2004,23.0,2024.0
UKR,2004,22.0,3194.0
DOM,2004,29.0,2216.0
HND,2004,23.0,2480.0
KGZ,2004,22.0,2739.0
MEX,2004,36.0,3105.0
PRY,2004,19.0,2660.0
BGD,2004,15.0,2382.0
GTM,2004,22.0,2324.0
KEN,2004,21.0,2022.0
LBN,2004,27.0,3175.0
NGA,2004,16.0,2655.0
NIC,2004,27.0,2360.0
UGA,2004,26.0,2351.0
CMR,2004,21.0,2246.0
MOZ,2004,28.0,2059.0
MDG,2004,31.0,1980.0
HTI,2004,15.0,1889.0
UZB,2004,23.0,2385.0
ZWE,2004,23.0,2044.0
TJK,2004,20.0,1979.0
TCD,2004,17.0,2026.0
AGO,2004,20.0,2030.0
TKM,2004,20.0,2814.0
IRQ,2004,21.0,2367.0
SDN,2004,22.0,2200.637384395388
NZL,2005,96.0,3183.0
DNK,2005,95.0,3414.0
FIN,2005,96.0,3201.0
NOR,2005,89.0,3520.0
CHE,2005,91.0,3386.0
SWE,2005,92.0,3122.0
CAN,2005,84.0,3475.0
LUX,2005,85.0,3502.0
NLD,2005,86.0,3231.0
GBR,2005,86.0,3438.0
DEU,2005,82.0,3450.0
AUS,2005,88.0,3099.0
ISL,2005,97.0,3323.0
AUT,2005,87.0,3640.0
BEL,2005,74.0,3716.0
IRL,2005,74.0,3485.0
JPN,2005,73.0,2829.0
EST,2005,64.0,3167.0
ARE,2005,62.0,3205.0
FRA,2005,75.0,3538.0
URY,2005,59.0,2809.0
BRB,2005,69.0,2888.0
CHL,2005,73.0,2909.0
PRT,2005,65.0,3531.0
TWN,2005,59.0,2985.0
ISR,2005,63.0,3633.0
BWA,2005,59.0,2198.0
SVN,2005,61.0,3071.0
POL,2005,34.0,3370.0
CRI,2005,42.0,2813.0
LTU,2005,48.0,3463.0
LVA,2005,42.0,3141.0
CYP,2005,57.0,2565.0
CZE,2005,43.0,3318.0
ESP,2005,70.0,3220.0
GEO,2005,23.0,2983.0
MLT,2005,66.0,3369.0
RWA,2005,31.0,2037.0
NAM,2005,43.0,2243.0
ITA,2005,50.0,3567.0
MUS,2005,42.0,3009.0
SVK,2005,43.0,2841.0
HRV,2005,34.0,2980.0
SAU,2005,34.0,2991.0
GRC,2005,43.0,3593.0
JOR,2005,57.0,3119.0
ROU,2005,30.0,3396.0
CUB,2005,38.0,3254.0
MYS,2005,51.0,2792.0
MNE,2005,28.0,3378.436822977921
HUN,2005,50.0,3270.0
SEN,2005,32.0,2237.0
BLR,2005,26.0,2987.0
JAM,2005,36.0,2795.0
OMN,2005,63.0,2718.0
BGR,2005,40.0,2723.0
ZAF,2005,45.0,2952.0
BFA,2005,34.0,2463.0
LSO,2005,34.0,2567.0
TUN,2005,49.0,3220.0
CHN,2005,32.0,2883.0
SRB,2005,28.0,2668.673365247112
SUR,2005,32.0,2614.0
TTO,2005,38.0,2756.0
GHA,2005,35.0,2751.0
IND,2005,29.0,2270.0
MAR,2005,32.0,3206.0
TUR,2005,35.0,3611.0
ARG,2005,28.0,3107.0
BEN,2005,29.0,2435.0
KWT,2005,47.0,3576.0
ALB,2005,24.0,2874.0
BIH,2005,29.0,3038.0
GUY,2005,25.0,2687.0
LKA,2005,32.0,2350.0
BRA,2005,37.0,3078.0
COL,2005,40.0,2733.0
IDN,2005,22.0,2468.0
PAN,2005,35.0,2334.0
PER,2005,35.0,2408.0
THA,2005,38.0,2720.0
ZMB,2005,26.0,1873.0
MNG,2005,30.0,2253.0
TZA,2005,29.0,2134.0
ARM,2005,29.0,2668.0
ETH,2005,22.0,1978.0
VNM,2005,26.0,2468.0
PHL,2005,25.0,2472.0
DZA,2005,28.0,2958.0
BOL,2005,25.0,2106.0
SLV,2005,42.0,2571.0
NER,2005,24.0,2444.0
ECU,2005,25.0,2248.0
GAB,2005,29.0,2715.0
PAK,2005,21.0,2359.0
AZE,2005,22.0,2837.0
KAZ,2005,26.0,3033.0
LBR,2005,22.0,2160.0
MWI,2005,28.0,2191.0
MLI,2005,29.0,2583.0
NPL,2005,25.0,2406.0
MDA,2005,29.0,2625.0
MMR,2005,18.0,2137.0
SLE,2005,24.0,2082.0
UKR,2005,26.0,3210.0
DOM,2005,30.0,2328.0
HND,2005,26.0,2490.0
KGZ,2005,23.0,2753.0
MEX,2005,35.0,3065.0
PRY,2005,21.0,2595.0
BGD,2005,17.0,2372.0
GTM,2005,25.0,2383.0
KEN,2005,21.0,2161.0
LBN,2005,31.0,3122.0
NGA,2005,19.0,2705.0
NIC,2005,26.0,2400.0
UGA,2005,25.0,2327.0
CMR,2005,22.0,2311.0
MOZ,2005,28.0,2038.0
MDG,2005,28.0,2060.0
HTI,2005,18.0,1884.0
UZB,2005,22.0,2471.0
ZWE,2005,26.0,2025.0
KHM,2005,23.0,2327.0
TJK,2005,21.0,2057.0
TCD,2005,17.0,2034.0
AGO,2005,20.0,2077.0
TKM,2005,18.0,2831.0
IRQ,2005,22.0,2351.0
SDN,2005,21.0,2213.182711345966
AFG,2005,25.0,1948.0
NZL,2006,96.0,3151.0
DNK,2006,95.0,3407.0
FIN,2006,96.0,3237.0
NOR,2006,88.0,3446.0
CHE,2006,91.0,3432.0
SWE,2006,92.0,3091.0
CAN,2006,85.0,3470.0
